ID,,,Name,,,,,,,Regular price,Categories
1,,,Lizol - Citrus,,,,,,,116,Cleaning & Disinfectants
2,,,Lizol Disinfectant Surface Cleaner - Floral,,,,,,,116,Cleaning & Disinfectants
3,,,Harpic,,,,,,,44,Cleaning & Disinfectants
4,,,Robin - Fabric Whiteness,,,,,,,39,Cleaning & Disinfectants
5,,,Patanjali Super Dishwash Bar,,,,,,,10,Cleaning & Disinfectants
6,,,Odopic Dishwash Bar,,,,,,,60,Cleaning & Disinfectants
7,,,Tide Washing Powder - Jasmine & Rose,,,,,,,10,Cleaning & Disinfectants
8,,,Dettol Liquid Hand Wash,,,,,,,99,Cleaning & Disinfectants
9,,,Dettol Sensitive Liquid Hand Wash Refiller,,,,,,,50,Cleaning & Disinfectants
10,,,Colin Glass Cleaner,,,,,,,109,Cleaning & Disinfectants
11,,,Vivel Soap - Lime and Aloe Vera,,,,,,,40,Personal Care > 
12,,,Vivel Soap - Lotus Oil + Aloe Vera,,,,,,,40,Personal Care > 
13,,,Lux Soap - Radiant Glow Rose,,,,,,,100,Personal Care > 
14,,,Dettol Soap - Original,,,,,,,10,Personal Care > 
15,,,Dove Soap - Cream Bar,,,,,,,61,Personal Care > 
16,,,Godrej Cinthol Soap - Intense Deo Fragrance,,,,,,,10,Personal Care > 
17,,,Godrej Cinthol Soap - Cool,,,,,,,10,Personal Care > 
18,,,Pears Soap - Pure and Gentle,,,,,,,54,Personal Care > 
19,,,Lifebuoy Soap - Expert Defence,,,,,,,112,Personal Care >
20,,,Dabur Amla Hair Oil,,,,,,,20,Hair Care > 
21,,,Streax Hair Serum - Walnut Oil,,,,,,,130,Hair Care > 
22,,,Livon Hair Serum - Anti-Frizz,,,,,,,279,Hair Care > 
23,,,Pantene Conditioner - Hairfall Control,,,,,,,229,Hair Care > 
24,,,Pantene Shampoo - Silky Smooth,,,,,,,205,Hair Care > 
25,,,Dove Shampoo - Anti Dandruff Solutions,,,,,,,205,Hair Care > 
26,,,Dove Shampoo - Hair Fall Rescue,,,,,,,205,Hair Care > 
27,,,Dove Shampoo - Daily Shine,,,,,,,205,Hair Care >
28,,,Head & Shoulders Shampoo - Smooth & Silky,,,,,,,205,Hair Care > 
29,,,Head & Shoulders Shampoo - Silky Black,,,,,,,84,Hair Care >
30,,,Head & Shoulders Shampoo - Neem,,,,,,,105,Hair Care > 
31,,,Head & Shoulders Shampoo - Anti-Hairfall,,,,,,,84,Hair Care > 
32,,,Sunsilk Shampoo - Stunning Black Shine,,,,,,,164,Hair Care > 
33,,,Sunsilk Shampoo - Soft & Smooth,,,,,,,164,Hair Care > 
34,,,Sunsilk Shampoo - Lusciously Thick & Long,,,,,,,135,Hair Care > 
35,,,L'Oreal Hyaluron Moisture Conditioner,,,,,,,269,Hair Care > 
36,,,L'Oreal Total Repair 5 Conditioner,,,,,,,259,Hair Care >
36,,,L'Oreal Total Repair 5 Conditioner,,,,,,,259,Hair Care >
37,,,L'Oreal Color Protect Shampoo,,,,,,,219,Hair Care >
38,,,Tresemme Shampoo - Keratin Smooth,,,,,,,209,Hair Care > 
39,,,Tresemme Shampoo - Lamellar Gloss,,,,,,,310,Hair Care > 
40,,,Tresemme Shampoo - Smooth Shine,,,,,,,290,Hair Care > 
41,,,Tresemme Conditioner - Smooth Shine,,,,,,,290,Hair Care > 
42,,,Nivea Nourishing Lotion Body Milk,,,,,,,275,Skin Care > 
43,,,Nivea Men - Fresh Active,,,,,,,105,Skin Care > 
44,,,Nivea Protect & Care,,,,,,,249,Skin Care > 
45,,,Nivea Pearl & Beauty,,,,,,,249,Skin Care > 
46,,,Nivea Pearl & Beauty,,,,,,,115,Skin Care > 
47,,,Clean & Clear Foaming Face Wash,,,,,,,30,Skin Care > 
48,,,Clean & Clear Foaming Face Wash,,,,,,,95,Skin Care > 
49,,,Clean & Clear Foaming Face Wash,,,,,,,180,Skin Care > 
50,,,Clean & Clear Morning Energy Lemon Fresh,,,,,,,185,Skin Care > 
51,,,Ponds Face Wash - Bright Beauty,,,,,,,209,Skin Care > 
52,,,Ponds Face Wash - Bright Miracle,,,,,,,209,Skin Care > 
53,,,Glow & Lovely Bright Glow Face Wash,,,,,,,160,Skin Care > 
54,,,Garnier Men Face Wash - Oil Clear,,,,,,,190,Skin Care > 
55,,,Garnier Men Face Wash - Turbo Bright,,,,,,,190,Skin Care > 
56,,,Garnier Pure Active,,,,,,,150,Skin Care > 
57,,,Garnier Bright Complete Vitamin C Face Wash,,,,,,,209,Skin Care >
58,,,Garnier Bright Complete Vitamin C Face Wash,,,,,,,115,Skin Care > 
59,,,Vaseline Original,,,,,,,54,Skin Care > 
60,,,Boroline,,,,,,,10,Skin Care > 
61,,,Himalaya Lip Balm,,,,,,,60,Skin Care > 
62,,,Lotus Herbals Safe Sun SPF40,,,,,,,480,Skin Care > 
63,,,Lotus Safe Sun SPF50,,,,,,,99,Skin Care > 
64,,,Lotus White Glow Gel Creme SPF25,,,,,,,99,Skin Care > 
65,,,Lotus White Glow Night Creme,,,,,,,99,Skin Care > 
66,,,Lakme 9to5 CC 02 - Honey,,,,,,,360,Skin Care > 
67,,,Ponds Light Moisturiser Non-Oily,,,,,,,49,Skin Care > 
68,,,Nivea Soft Light Moisturising Cream,,,,,,,220,Skin Care > 
69,,,Nivea Cream,,,,,,,199,Skin Care > 
70,,,Close Up Zinc Fresh Technology - Red Hot,,,,,,,20,Oral Care > 
71,,,Colgate Max Fresh - Spicy Fresh,,,,,,,72,Oral Care > 
72,,,Colgate Active Salt,,,,,,,78,Oral Care > 
73,,,Colgate Visible White Enamel Safe,,,,,,,190,Oral Care > 
74,,,Mee Mee Children Toothpaste - Strawberry Flavour,,,,,,,150,Oral Care > 
75,,,Colgate Strong Teeth,,,,,,,20,Oral Care > 
76,,,Sensodyne Toothpaste - Fresh Gel,,,,,,,135,Oral Care > 
77,,,Sensodyne Daily Care Toothbrush,,,,,,,35,Oral Care > 
78,,,Colgate Kids 2+ Toothbrush,,,,,,,30,Oral Care > 
79,,,Oral B Soft/Extra Soft Toothbrush,,,,,,,30,Oral Care > 
80,,,Colgate Super Flexi Toothbrush,,,,,,,20,Oral Care > 
81,,,Himalaya Baby Powder - Neem & Khush Khush,,,,,,,195,Baby Care > 
82,,,Himalaya Baby Powder - Khush Khush,,,,,,,195,Baby Care > 
83,,,Johnson's Baby Powder,,,,,,,125,Baby Care > 
84,,,Mamy Poko Pants Diapers,,,,,,,,Baby Care > 
85,,,Kiddy Soft Pants Diaper - M,,,,,,,110,Baby Care > 
86,,,Kiddy Soft Pants Diaper - L,,,,,,,65,Baby Care >
87,,,Mee Mee Diapers,,,,,,,185,Baby Care > 
88,,,Huggies Complete Comfort Wonder Pants - S,,,,,,,55,Baby Care >
89,,,Huggies Complete Comfort Wonder Pants - S,,,,,,,55,Baby Care >     
90,,,Johnson's Baby Sun Care Wipes,,,,,,,280,Baby Care > 
91,,,Mee Mee Wet Wipes - Caring Baby Wet Wipes,,,,,,,99,Baby Care >
92,,,Garnier Color Naturals - 3.16,,,,,,,219,Hair Care > 
93,,,Garnier Color Naturals - 3,,,,,,,219,Hair Care > 
94,,,Garnier Color Naturals - 5,,,,,,,219,Hair Care > 
95,,,Garnier Color Naturals - 1,,,,,,,219,Hair Care > 
96,,,Garnier Color Naturals - 5.32,,,,,,,219,Hair Care > 
97,,,Garnier Color Naturals Ultra Color - 7.3,,,,,,,249,Hair Care > 
98,,,Garnier Color Naturals Ultra Color - 6.26,,,,,,,249,Hair Care >
99,,,Streax Creme Hair Color - 7.3,,,,,,,90,Hair Care > 
100,,,Streax Creme Hair Color - 9.1,,,,,,,70,Hair Care > 
101,,,Streax Creme Hair Color - 5,,,,,,,80,Hair Care > 
102,,,Streax Creme Hair Color - 3,,,,,,,80,Hair Care > 
103,,,Streax Creme Hair Color - 3.16,,,,,,,75,Hair Care > 
104,,,Streax Cream Hair Color - 9.1,,,,,,,170,Hair Care > 
105,,,Streax Cream Hair Color - 0.6,,,,,,,170,Hair Care > 
106,,,Streax Cream Hair Color - 7.3,,,,,,,175,Hair Care > 
107,,,Rexona Deodorant - Powder Dry,,,,,,,190,Personal Care > 
108,,,Rexona Deodorant - Shower Fresh,,,,,,,190,Personal Care > 
109,,,Nivea Men Active Clean Shower Gel,,,,,,,275,Personal Care > 
110,,,Engage Perfume Spray - W1,,,,,,,230,Personal Care >   
111,,,Engage Perfume Spray - W2,,,,,,,230,Personal Care >   
112,,,Engage Perfume Spray - W3,,,,,,,230,Personal Care > 
113,,,Engage Perfume Spray - W4,,,,,,,230,Personal Care > 
114,,,Engage Pocket Perfume - Floral Fresh,,,,,,,65,Personal Care > 
115,,,Engage Pocket Perfume - Cool Aqua,,,,,,,65,Personal Care > 
116,,,Engage Pocket Perfume - Sweet Blossom,,,,,,,65,Personal Care > 
117,,,Wild Stone Body Perfume - Chrome,,,,,,,275,Personal Care > 
117,,,Wild Stone Body Perfume - Gold,,,,,,,275,Personal Care >  
118,,,Wild Stone Body Perfume - Titanium,,,,,,,275,Personal Care >  
119,,,Adonil Room Gels - Citrus Spice,,,,,,,95,Home Care >  
120,,,Adonil Gel Pocket - Wild Forest,,,,,,,65,Home Care >  
121,,,Adonil Gel Pocket - Citrus Bloom,,,,,,,65,Home Care >     
122,,,Adonil Gel Pocket - Floral Valley,,,,,,,65,Home Care >    
123,,,Cello Max Writer Ball Pen - Blue,,,,,,,10,Stationery >    
124,,,Cello Max Writer Ball Pen - Black,,,,,,,10,Stationery >   
125,,,Cello Max Writer Ball Pen - Red,,,,,,,10,Stationery >     
126,,,Tulips Super Soft Facial Tissue,,,,,,,15,Home Care >  
127,,,Tulip Facial Tissues Super Soft & Pure,,,,,,,85,Home Care >   
128,,,Veet Hair Removal Cream,,,,,,,159,Personal Care >         
129,,,Veet Wax Strip - Normal Skin,,,,,,,115,Personal Care >    
130,,,Veet Wax Strip - Dry Skin,,,,,,,115,Personal Care >       
131,,,Good Knight Liquid Vaporiser Machine,,,,,,,105,Home Care >    
132,,,Good Knight Liquid Vaporiser Refiller,,,,,,,93,Home Care >    
133,,,Cotton Buds Doria,,,,,,,40,Personal Care >    
134,,,Lancer Pure Plastic Cards,,,,,,,,Stationery > 
135,,,Fanta,,,,,,,50,Beverages >    
136,,,Coke,,,,,,,40,Beverages >    
137,,,Redbull,,,,,,,120,Beverages >     
